freq (Hz),dB20(clip(dft((VT("/Out+") - VT("/Out-")) VAR("tstart") (VAR("tstart") + (VAR("M") / VAR("fsamp"))) (VAR("M") * VAR("pts_per_symbol")) "Rectangular" 1 "default" 1.5) 0 (VAR("fsamp") / 2))) J 13  (dB),dB20(clip(dft((VT("/Out+") - VT("/Out-")) VAR("tstart") (VAR("tstart") + (VAR("M") / VAR("fsamp"))) (VAR("M") * VAR("pts_per_symbol")) "Rectangular" 1 "default" 1.5) 0 (VAR("fsamp") / 2))) J 1013  (dB)
126.4E6,-89.15,-81.55
126.6E6,-129.5,-110.7
126.8E6,-82.81,-84.94
127.0E6,-116.5,-109.1
127.1E6,-90.02,-99.60
127.3E6,-128.6,-110.1
127.5E6,-82.68,-84.82
127.7E6,-128.8,-111.4
127.9E6,-96.81,-85.43
128.1E6,-125.6,-109.3
128.3E6,-88.92,-103.3
128.5E6,-130.4,-110.2
128.7E6,-86.37,-79.82
128.9E6,-131.4,-112.6
129.1E6,-83.41,-77.44
129.3E6,-131.2,-109.3
129.5E6,-93.15,-80.23
129.7E6,-125.5,-109.2
129.9E6,-79.63,-86.24
130.1E6,-127.9,-111.0
130.3E6,-87.75,-84.37
130.5E6,-127.7,-108.9
130.7E6,-86.47,-83.14
130.9E6,-125.4,-110.3
131.1E6,-86.82,-90.60
131.3E6,-133.4,-110.4
131.4E6,-89.76,-87.58
131.6E6,-134.1,-109.4
131.8E6,-90.64,-81.24
132.0E6,-119.0,-109.7
132.2E6,-87.51,-90.01
132.4E6,-127.1,-110.2
132.6E6,-97.86,-86.01
132.8E6,-127.6,-109.1
133.0E6,-87.96,-81.82
133.2E6,-124.6,-109.0
133.4E6,-94.17,-76.30
133.6E6,-138.1,-111.7
133.8E6,-80.66,-88.75
134.0E6,-134.2,-109.0
134.2E6,-85.09,-87.21
134.4E6,-138.8,-110.1
134.6E6,-92.92,-86.99
134.8E6,-125.0,-111.0
135.0E6,-91.10,-98.66
135.2E6,-127.8,-108.9
135.4E6,-84.96,-83.40
135.5E6,-126.8,-109.3
135.7E6,-86.14,-86.19
135.9E6,-127.6,-111.3
136.1E6,-82.14,-91.84
136.3E6,-135.8,-108.2
136.5E6,-97.25,-79.61
136.7E6,-135.6,-109.8
136.9E6,-99.48,-83.26
137.1E6,-120.0,-110.0
137.3E6,-95.67,-84.25
137.5E6,-127.3,-108.5
137.7E6,-97.03,-81.88
137.9E6,-128.2,-110.2
138.1E6,-92.27,-89.62
138.3E6,-124.9,-110.4
138.5E6,-90.73,-84.04
138.7E6,-134.6,-108.7
138.9E6,-84.98,-86.03
139.1E6,-133.0,-109.3
139.3E6,-82.72,-89.22
139.5E6,-133.3,-110.1
139.6E6,-88.90,-86.91
139.8E6,-126.0,-108.8
140.0E6,-82.54,-97.72
140.2E6,-128.6,-108.9
140.4E6,-84.47,-89.73
140.6E6,-128.1,-110.6
140.8E6,-82.94,-96.59
141.0E6,-124.4,-109.0
141.2E6,-95.33,-78.74
141.4E6,-132.1,-107.7
141.6E6,-88.89,-83.45
141.8E6,-131.4,-110.6
142.0E6,-80.27,-79.27
142.2E6,-118.3,-107.8
142.4E6,-92.50,-81.59
142.6E6,-129.1,-109.0
142.8E6,-84.98,-97.38
143.0E6,-130.0,-110.8
143.2E6,-82.05,-87.35
143.4E6,-126.8,-108.4
143.6E6,-87.93,-83.32
143.8E6,-129.4,-109.1
143.9E6,-86.02,-87.45
144.1E6,-130.6,-111.0
144.3E6,-92.16,-89.33
144.5E6,-127.8,-108.8
144.7E6,-81.21,-80.94
144.9E6,-129.4,-109.6
145.1E6,-102.8,-81.94
145.3E6,-131.2,-111.0
145.5E6,-89.98,-83.73
145.7E6,-131.5,-109.8
145.9E6,-85.83,-88.17
146.1E6,-121.1,-109.7
146.3E6,-81.32,-72.70
146.5E6,-129.1,-108.8
146.7E6,-93.14,-83.91
146.9E6,-128.7,-110.0
147.1E6,-85.33,-81.92
147.3E6,-116.1,-109.0
147.5E6,-95.10,-83.24
147.7E6,-133.8,-111.4
147.9E6,-88.37,-83.23
148.0E6,-133.4,-109.6
148.2E6,-89.11,-94.04
148.4E6,-132.0,-109.2
148.6E6,-83.61,-89.81
148.8E6,-127.1,-112.2
149.0E6,-82.46,-81.90
149.2E6,-129.0,-109.7
149.4E6,-80.17,-86.26
149.6E6,-126.2,-109.4
149.8E6,-94.74,-90.37
150.0E6,-137.6,-111.3
150.2E6,-84.30,-96.98
150.4E6,-135.7,-110.0
150.6E6,-104.4,-81.09
150.8E6,-138.2,-110.7
151.0E6,-100.6,-85.06
151.2E6,-119.2,-113.3
151.4E6,-84.16,-85.27
151.6E6,-128.1,-110.4
151.8E6,-92.12,-94.54
152.0E6,-128.1,-110.6
152.1E6,-100.7,-81.26
152.3E6,-115.2,-112.6
152.5E6,-86.46,-88.33
152.7E6,-138.3,-110.8
152.9E6,-90.20,-91.25
153.1E6,-137.4,-110.2
153.3E6,-83.49,-91.04
153.5E6,-137.3,-112.9
153.7E6,-90.23,-87.67
153.9E6,-126.9,-109.2
154.1E6,-80.32,-82.40
154.3E6,-128.7,-109.6
154.5E6,-90.52,-105.6
154.7E6,-126.8,-106.2
154.9E6,-92.55,-70.59
155.1E6,-137.5,-114.0
155.3E6,-97.44,-84.20
155.5E6,-135.5,-111.0
155.7E6,-116.6,-98.20
155.9E6,-137.0,-114.5
156.1E6,-91.65,-82.66
156.3E6,-118.8,-111.6
156.4E6,-90.92,-82.75
156.6E6,-128.8,-110.0
156.8E6,-93.41,-94.80
157.0E6,-128.6,-114.4
157.2E6,-89.20,-91.34
157.4E6,-116.1,-110.3
